,0
0,0.0055983244
1,0.0055983244
2,0.0055982936
3,0.005585366
4,0.005580744
5,0.005596442
6,0.0055994513
7,0.0055999923
8,0.005603034
9,0.00560217
10,0.005585611
11,0.0055805165
12,0.005598721
13,0.005604863
14,0.0056059957
15,0.005605099
16,0.005603086
17,0.0056013595
18,0.005600645
19,0.0055998247
20,0.005599114
21,0.0055985656
22,0.0055981977
23,0.005597949
24,0.005597775
25,0.005597747
26,0.0055977246
27,0.0055977525
28,0.00559779
29,0.005597827
30,0.005597922
31,0.0055979565
32,0.0055980347
33,0.0055980673
34,0.005598139
35,0.0055981698
36,0.0055982135
37,0.0055982424
38,0.0055982294
39,0.0055982647
40,0.0055982796
41,0.005598302
42,0.0055982135
43,0.0055982135
44,0.005598273
45,0.0055983188
46,0.0055983467
47,0.0055983644
48,0.005598342
49,0.005598329
50,0.005598344
51,0.0055983383
52,0.005598342
53,0.005598328
54,0.005598327
55,0.0055983122
56,0.0055983085
57,0.0055983085
58,0.005598317
59,0.0055983393
60,0.0055983244
61,0.0055983234
62,0.0055983234
63,0.0055983234
64,0.0055983234
65,0.0055983244
66,0.0055983244
67,0.0055983234
68,0.0055983234
69,0.0055983244
70,0.0055983244
71,0.0055983244
72,0.0055983244
73,0.0055983244
74,0.0055983234
75,0.0055983244
76,0.0055983234
77,0.0055983244
78,0.0055983244
79,0.0055983244
80,0.0055983244
81,0.0055983244
82,0.0055983244
83,0.0055983244
84,0.0055983244
85,0.0055983234
86,0.0055983244
87,0.0055983244
88,0.0055983244
89,0.0055983244
90,0.0055983244
91,0.0055983244
92,0.0055983244
93,0.0055983244
94,0.0055983244
95,0.0055983244
96,0.0055983244
97,0.0055983244
98,0.0055983244
99,0.0055983244
100,0.0055983244
101,0.0055983244
102,0.0055983244
103,0.0055983244
104,0.0055983244
105,0.0055983244
106,0.0055983244
107,0.0055983244
108,0.0055983244
109,0.0055983244
110,0.0055983244
111,0.0055983244
112,0.0055983244
113,0.0055983244
114,0.0055983244
115,0.0055983244
116,0.0055983244
117,0.0055983244
118,0.0055983244
119,0.0055983244
120,0.0055983244
121,0.0055983244
122,0.0055983244
123,0.0055983244
124,0.0055983244
125,0.0055983244
126,0.0055983244
127,0.0055983244
128,0.0048325043
129,0.0036460487
130,0.0048099235
131,0.005229653
132,0.0049227886
133,0.0060154265
134,0.0062999716
135,0.0061905626
136,0.007524905
137,0.0075881677
138,0.007373742
139,0.0064293398
140,0.005958625
141,0.0054084696
142,0.0059532505
143,0.0060373256
144,0.0059026023
145,0.0057110284
146,0.005888302
147,0.0048372727
148,0.005103468
149,0.005260841
150,0.005369272
151,0.0051544094
152,0.004871848
153,0.005155687
154,0.0054638665
155,0.005398183
156,0.0053384453
157,0.0054316316
158,0.0056428546
159,0.0057828184
160,0.0057909563
161,0.0057523903
162,0.0057037547
163,0.005647216
164,0.0056067538
165,0.005598492
166,0.0055907303
167,0.0055841133
168,0.005579074
169,0.0055771954
170,0.0055790283
171,0.0054060463
172,0.0045447815
173,0.005238601
174,0.0052861637
175,0.005138973
176,0.00517028
177,0.0051418636
178,0.0038239844
179,0.005109433
180,0.0063839424
181,0.0051615257
182,0.0056874016
183,0.006050595
184,0.006112151
185,0.006045278
186,0.0059317127
187,0.0057494147
188,0.005628992
189,0.005618318
190,0.0048826095
191,0.0049860403
192,0.0055142306
193,0.0056891413
194,0.005722286
195,0.005704581
196,0.00566124
197,0.0055754595
198,0.0053197453
199,0.005268056
200,0.0055072047
201,0.0056131985
202,0.005640276
203,0.005654159
204,0.0056443494
205,0.005634184
206,0.0056202626
207,0.005607602
208,0.0055979276
209,0.0055914195
210,0.005587546
211,0.0055856714
212,0.0055852514
213,0.0055858754
214,0.0055871373
215,0.0055887057
216,0.0055904184
217,0.005592116
218,0.0055937218
219,0.005595226
220,0.00559655
221,0.005597735
222,0.005598721
223,0.005599551
224,0.0056002354
225,0.0056008277
226,0.005601502
227,0.005606385
228,0.005605704
229,0.00565257
230,0.005597599
231,0.0055977637
232,0.0055978745
233,0.005597979
234,0.005598056
235,0.0055981167
236,0.005598177
237,0.0055981874
238,0.005598222
239,0.0055982387
240,0.0055982796
241,0.0055982806
242,0.005598288
243,0.00559829
244,0.005598301
245,0.005598316
246,0.0055982936
247,0.0055983085
248,0.0055983244
249,0.0055983244
250,0.0055983244
251,0.0055983244
252,0.0055983234
253,0.0055983244
254,0.0055983244
255,0.0055983346
256,0.005598331
257,0.005598331
258,0.005598331
259,0.0055983253
260,0.0055983393
261,0.0055983393
262,0.005598317
263,0.0055983234
264,0.0055983244
265,0.0055983244
266,0.0055983244
267,0.0055983244
268,0.0055983234
269,0.0055983244
270,0.0055983244
271,0.0055983244
272,0.0055983244
273,0.0055983244
274,0.0055983244
275,0.0055983244
276,0.0055983244
277,0.0055983244
278,0.0055983244
279,0.0055983244
280,0.0055983244
281,0.0055983244
282,0.0055983234
283,0.0055983244
284,0.0055983244
285,0.0055983244
286,0.0055983244
287,0.0055983244
288,0.0055983244
289,0.0055983244
290,0.0055983244
291,0.0055983244
292,0.0055983244
293,0.0055983244
294,0.0055983244
295,0.0055983244
296,0.0055983244
297,0.0055983244
298,0.0055983253
299,0.0055983244
300,0.0055983244
301,0.0055983244
302,0.0055983244
303,0.0055983244
304,0.0055983244
305,0.0055983244
306,0.0055983244
307,0.0055983244
308,0.0055983244
309,0.0055983244
310,0.0055983244
311,0.0055983244
312,0.0055983244
313,0.0055983244
314,0.0055983244
315,0.0055983244
316,0.0055983244
317,0.0055983244
318,0.0055983244
319,0.0055983244
320,0.0055983244
321,0.0055983244
322,0.0055983244
323,0.0055983244
324,0.0055983244
325,0.0055983244
326,0.0055983244
327,0.0055983244
328,0.0055983244
329,0.0055983244
330,0.0055983244
331,0.0055983244
332,0.0055983244
333,0.0055983244
334,0.0055983244
335,0.0055983244
